recipe_name,flavors,rating,success
Nutella–Brown Butter Crispies ,marshmallow raspberry,2,0.4
Hazelnut and Buckwheat Financiers With Figs ,hazelnut fig,0,0
Grapefruit-Vanilla Shortbread ,vanilla rose,3.5,0.75
Free-Form Chocolate Candies ,chocolate pumpkin,0,0
Chocolate-Covered Marshmallow Cookies ,almond strawberry chocolate coconut,4,0.1
Chocolate Blackout Cookies ,chocolate cocoa vanilla chocolate vanilla,0,0
Black-and-White Halvah ,tahini tahini,1.5,0.5
Fruity Rum Bundt Cake ,apricot cherry raisin rum clove vanilla,3.5,0.1
Basic Crepes ,vanilla chocolate,3,0.67
Boozy Grapefruit-Pomegranate Gummy Candies ,honey lemon pomegranate honey lemon,0,0
Braided Almond-Cream Wreath (Kranzkuchen) ,raisin rum lemon almond apricot,3,0.5
Dulce de Leche Brownies ,chocolate vanilla,4,0.1
Double Chocolate Espresso Cookies ,cocoa chocolate,2.5,0.5
"Chocolate, Pistachio, and Tahini Truffles ",tahini chocolate honey cinnamon orange pistachio,3.5,0.84
Christmas Glazed Apple Cake (Weihnachten Gedeckter Apfelkuchen) ,apple lemon cranberry,3.5,0.75
Ombre Christmas Tree Cookies ,,4,0.1
Milk Chocolate Sauce ,chocolate,0,0
Suzette Sauce ,orange orange,4,0.1
3-Ingredient Caramel Apple Tart ,caramel apple,3,0.67
Sweet Potato–Miso Pie with Chocolate-Sesame Crust ,chocolate vanilla,4,0.1
Cranberry-Lime Pie ,pecan cranberry lemon lime lime,3.5,0.83
Buckwheat Banana Cake with Yogurt-Espresso Frosting ,cinnamon banana,3.5,0.8
Apple Pandowdy ,apple lemon lemon vanilla cinnamon ginger vanilla,3,0.57
Chocolate-Pecan Sheet Pie With Molasses ,pecan lemon vanilla pecan chocolate,3,0.5
Spiced Hazelnut-Pear Cake With Chocolate Sauce ,pear cinnamon vanilla hazelnut cinnamon clove nutmeg vanilla chocolate,3,0.8
Bite-Size Stollen (Stollenkonfekt) ,lemon vanilla rum cinnamon clove cardamom almond raisin vanilla,3.5,0.1
Vanilla Sugar (Vanillezucker) ,vanilla,0,0
"Hershey's ""Perfectly Chocolate"" Chocolate Cake ",cocoa vanilla cocoa vanilla,3,0.67
Karo Classic Pecan Pie ,vanilla pecan,4,0.1
Toll House Chocolate Chip Cookies ,vanilla chocolate,3.5,0.8
Carnation Lemon Bars ,lemon lemon,1,0
Philadelphia Classic Cheesecake ,graham vanilla,3,0.5
Classic Apple Pie ,apple lemon,4,0.75
Almond and Jam Tart ,almond date vanilla cinnamon strawberry lemon vanilla almond,0,0
Build-Your-Own Thanksgiving Pie Bar ,pumpkin cranberry pumpkin,0,0
Braised and Brûléed Apples With Ice Cream ,apple maple apple apple vanilla,4,0.1
Apple and Nut-Butter Puff Pastry Tarts ,peanut apple apple peanut,0,0
Apple and Fig Custard ,lemon vanilla rum apple fig,4,0.1
Yeasted Apple Coffee Cake ,orange orange oat cinnamon apple orange,3,0.67
Giant Chocolate Caramel Cookie Bars ,vanilla chocolate coconut,3.5,0.1
Giant Chocolate Candy Bar With Peanuts and Nougat ,peanut peanut chocolate coconut,3.5,0.67
Giant Chocolate Peanut Butter Cup ,chocolate coconut peanut peanut,3,0.78
Pannelet Cookies with Sweet Potato and Coconut ,yam coconut lemon almond cardamom,4,0.1
Apple-Cranberry Crisp With Oatmeal-Cookie Crumble ,oat vanilla cinnamon nutmeg almond apple cranberry orange orange cinnamon nutmeg almond,4,0.1
Pumpkin and Cookie-Butter Sheet Cake With Toasted Meringue ,cinnamon nutmeg ginger pumpkin vanilla vanilla nutmeg cinnamon pumpkin,3.5,0.92
White Chocolate Pumpkin Mousse ,chocolate pumpkin vanilla cinnamon nutmeg,1,0.1
Pumpkin Pie–Spice Whipped Cream ,ginger nutmeg cinnamon,4,0.1
Stovetop Butterscotch Apples and Cranberries ,cranberry vanilla apple,0,0
Orange–Brown Butter Wet Nuts ,pecan walnut maple orange orange vanilla,0,0
Cinnamon-Oat Crumble Topping ,cinnamon oat,4,0.1
Chewy Coconut–Chocolate Chip Cookies ,oat coconut vanilla chocolate,3.5,0.87
Pumpkin Spice Cupcakes ,cinnamon allspice nutmeg pumpkin honey vanilla maple,3,0.1
Pumpkin and Chocolate Mousse Trifle ,chocolate pumpkin pumpkin chocolate,0,0
Apple Gingerbread Cake With Cream ,apple cinnamon clove nutmeg maple ginger,3.5,0.1
